mode,cores,threads,pf,stage,count,avg,std,p50,p90,p99,p999,trimmed_mean
mmap,2,4,0.0,4_block_layer,139,4047.540260701541,3307.1092633486915,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,4016.779426208896
mmap,2,4,0.0,5_driver_ssd,174,234567.76852258315,132110.639206603,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,232917.1586350991
mmap,2,4,0.0,6_context_switch,6729,4714435.842741322,148045216.0396264,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2932992.1550481846
fread,4,8,0.8,2_kernel_entry,759658,567.6715172573424,310.98181443494127,724.0773439350247,724.0773439350247,724.0773439350247,1448.1546878700494,561.8265219007485
fread,4,8,0.8,3_filesystem,13,46786.53606964775,63585.45831450057,11585.237502960395,166827.42004262976,185363.80004736633,185363.80004736633,46786.53606964775
fread,4,8,0.8,4_block_layer,32,4525.483399593904,4241.418630599908,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,4525.483399593904
fread,4,8,0.8,5_driver_ssd,35,206548.2343384939,110965.79779576504,185363.80004736633,296582.0800757864,615407.816157255,728850.4617862448,206548.2343384939
fread,4,8,0.8,6_context_switch,13160,3859031.608021156,105868081.09008767,2965820.800757861,2965820.800757861,5931641.601515722,5931641.601515722,2930639.3321180767
mmap,2,2,0.6,2_kernel_entry,1010,1559.9923766362515,1341.7075534907772,1448.1546878700494,2896.309375740099,5792.618751480198,5792.618751480198,1508.1287709030519
mmap,2,2,0.6,3_filesystem,26,168208.73682182882,243466.19955115262,23170.47500592079,556091.400142099,741455.2001894653,741455.2001894653,168208.73682182882
mmap,2,2,0.6,4_block_layer,79,3858.6906556537383,3492.0331307128004,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3858.6906556537383
mmap,2,2,0.6,5_driver_ssd,111,286395.42079390376,199654.37635306528,185363.80004736633,370727.60009473265,741455.2001894653,1401350.3283581005,277195.4074102817
mmap,2,2,0.6,6_context_switch,61,199171124.0877798,1542587433.6645553,11585.237502960395,46340.95001184158,4859423236.52172,11419144123.566011,199171124.0877798
fread,1,1,0.4,2_kernel_entry,619502,373.8406854886691,226.65800703605092,362.03867196751236,362.03867196751236,724.0773439350247,1448.1546878700494,365.67270270149515
fread,1,1,0.4,3_filesystem,32,53672.2331191837,77476.22293323289,23170.47500592079,176095.6100449982,313264.8220800493,364981.3222932652,53672.2331191837
fread,1,1,0.4,4_block_layer,61,4166.412257724487,3608.8680002107926,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,4166.412257724487
fread,1,1,0.4,5_driver_ssd,68,208534.27505328707,75186.00200131124,185363.80004736633,370727.60009473265,370727.60009473265,370727.60009473265,208534.27505328707
fread,1,1,0.4,6_context_switch,299,40639463.29583618,701360681.8280637,5792.618751480198,11585.237502960395,185363.80004736633,8528118357.583073,8286.390213981842
fread,4,8,0.0,2_kernel_entry,11042409,404.9686649396,273.825154237759,362.03867196751236,724.0773439350247,724.0773439350247,724.0773439350247,396.5135654264529
fread,4,8,0.0,3_filesystem,23,62333.61482571083,83907.68750070786,23170.47500592079,166827.42004262976,329947.5640843123,366649.59649369086,62333.61482571083
fread,4,8,0.0,4_block_layer,58,104727912.8833211,790649535.2050654,2896.309375740099,11585.237502960395,2611827033.564778,5727783603.313397,104727912.8833211
fread,4,8,0.0,5_driver_ssd,102,179911.92357538495,284060.55286545574,185363.80004736633,185363.80004736633,370727.60009473265,2703716.3874909244,153388.54453919563
fread,4,8,0.0,6_context_switch,13447,3838442.6091088196,104730349.97469188,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2958957.0376177817
mmap,2,2,0.8,2_kernel_entry,1016,1776.697655935056,1327.657219075535,1448.1546878700494,2896.309375740099,5792.618751480198,11498.34822168893,1735.3138754748034
mmap,2,2,0.8,3_filesystem,36,169562099.26459587,998039946.2324883,23170.47500592079,741455.2001894653,3956404948.2109785,5862241394.778009,169562099.26459587
