mode,cores,threads,pf,stage,count,avg,std,p50,p90,p99,p999,trimmed_mean
fread,1,1,1.0,3_filesystem,58,189009.15495131505,792874.4960128458,5792.618751480198,240972.940061577,3395864.81686775,5678063.9230509475,189009.15495131505
fread,1,1,1.0,4_block_layer,73,3729.494264651634,3261.7544625195483,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3729.494264651634
fread,1,1,1.0,5_driver_ssd,184,295738.3725619836,1236104.1549931215,185363.80004736633,185363.80004736633,4478389.409144259,11863283.203031445,233741.7148948933
fread,1,1,1.0,6_context_switch,84,144655620.0933629,1317538433.331307,11585.237502960395,92681.90002368316,2065314191.9377742,11139733219.107746,144655620.0933629
mmap,1,1,1.0,1_user_space,1,5792.618751480198,0.0,5792.618751480198,5792.618751480198,5792.618751480198,5792.618751480198,5792.618751480198
mmap,1,1,1.0,2_kernel_entry,1083,1463.5321383875987,1065.8156129949748,1448.1546878700494,2896.309375740099,5792.618751480198,5792.618751480198,1424.313947477081
mmap,1,1,1.0,3_filesystem,39,137166.2414613324,207360.7808753083,46340.95001184158,370727.60009473265,741455.2001894653,741455.2001894653,137166.2414613324
mmap,1,1,1.0,4_block_layer,108,3881.8590938738816,3336.3162949206553,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3838.9761065234325
mmap,1,1,1.0,5_driver_ssd,131,334203.14903578116,709122.2372944158,185363.80004736633,370727.60009473265,4374585.681117786,5931641.601515722,293313.06732301274
mmap,1,1,1.0,6_context_switch,301,40366951.08849195,699034635.569341,5792.618751480198,11585.237502960395,23170.47500592079,8503657009.073506,7304.5904255953665
fread,4,4,0.0,1_user_space,4,46340.95001184158,0.0,46340.95001184158,46340.95001184158,46340.95001184158,46340.95001184158,46340.95001184158
fread,4,4,0.0,2_kernel_entry,7979156,588.0325499092971,311.05704468289986,724.0773439350247,724.0773439350247,724.0773439350247,724.0773439350247,582.9238319125652
fread,4,4,0.0,3_filesystem,38,73017.48373576354,141674.98412564857,11585.237502960395,185363.80004736633,604285.9881544152,727738.2789859605,73017.48373576354
fread,4,4,0.0,4_block_layer,33,5156.3083583251755,4079.5113483282116,5792.618751480198,11585.237502960395,11585.237502960395,11585.237502960395,5156.3083583251755
fread,4,4,0.0,5_driver_ssd,68,492202.2227360674,2841483.2879700707,185363.80004736633,370727.60009473265,8078154.406064185,22161725.206063185,492202.2227360674
fread,4,4,0.0,6_context_switch,139,87420076.84801306,1026664914.680795,11585.237502960395,46340.95001184158,530140.4681354702,10471680044.735329,24692.622999010477
fread,4,8,0.5,1_user_space,8,83992.97189646287,108640.56082329473,46340.95001184158,143656.94503670884,348020.5345889302,368456.8935441525,83992.97189646287
fread,4,8,0.5,2_kernel_entry,7388868,545.7142305886279,328.3630895464565,362.03867196751236,724.0773439350247,724.0773439350247,724.0773439350247,539.4205179840613
fread,4,8,0.5,3_filesystem,37,66849.95153735255,142899.6523249401,11585.237502960395,185363.80004736633,607993.2641553618,728109.006586057,66849.95153735255
fread,4,8,0.5,4_block_layer,31,4694.82406874,4285.163707005565,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,4694.82406874
fread,4,8,0.5,5_driver_ssd,65,136705.80253493265,100633.18195713809,185363.80004736633,185363.80004736633,370727.60009473265,370727.60009473265,136705.80253493265
fread,4,8,0.5,6_context_switch,13457,3815038.209288613,104691785.78988239,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2937374.646288541
mmap,2,2,0.5,1_user_space,2,6074003896.261476,6073998103.642724,6074003896.261476,10933202379.175655,12026522037.831345,12135854003.696915,6074003896.261476
mmap,2,2,0.5,2_kernel_entry,993,1607.1162799927438,1253.1155251531557,1448.1546878700494,2896.309375740099,5792.618751480198,5838.9597014929195,1570.6908537667462
mmap,2,2,0.5,3_filesystem,27,169702.2752748458,238453.3712431157,46340.95001184158,519018.6401326265,741455.2001894653,741455.2001894653,169702.2752748458
mmap,2,2,0.5,4_block_layer,88,4040.0224530920127,3427.1708497035643,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,4040.0224530920127
mmap,2,2,0.5,5_driver_ssd,107,240150.06337912293,121750.07752383285,185363.80004736633,370727.60009473265,719211.5441837806,741455.2001894653,237552.53660832124
mmap,2,2,0.5,6_context_switch,61,199165331.46902832,1542588180.976222,11585.237502960395,23170.47500592079,4859312018.241691,11419133001.738008,199165331.46902832
mmap,4,8,0.5,1_user_space,3,8098671861.681968,5726617600.0,12148001999.9042,12148001999.9042,12148001999.9042,12148001999.9042,8098671861.681968
mmap,4,8,0.5,2_kernel_entry,993,1488.2596767083442,1041.3714255068764,1448.1546878700494,2896.309375740099,5792.618751480198,5792.618751480198,1455.5811221668191
mmap,4,8,0.5,3_filesystem,27,184505.63430640634,258676.70193048913,46340.95001184158,741455.2001894653,741455.2001894653,741455.2001894653,184505.63430640634
mmap,4,8,0.5,4_block_layer,91,3827.2659607994156,3757.4909695414094,2896.309375740099,11585.237502960395,12743.761253256369,22127.803630654482,3827.2659607994156
mmap,4,8,0.5,5_driver_ssd,111,248195.44848684515,151608.73338865102,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,245840.86554447148
mmap,4,8,0.5,6_context_switch,13417,3849381.0232469067,104847170.7792854,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2965031.358762071
fread,2,2,0.0,1_user_space,2,46340.95001184158,0.0,46340.95001184158,46340.95001184158,46340.95001184158,46340.95001184158,46340.95001184158
fread,2,2,0.0,2_kernel_entry,4130691,588.2222269067787,313.6150670335706,724.0773439350247,724.0773439350247,724.0773439350247,724.0773439350247,583.0031605698122
fread,2,2,0.0,3_filesystem,31,47088.38468945193,134686.60899305422,5792.618751480198,92681.90002368316,574627.7801468351,724772.4581852037,47088.38468945193
